"Cell_address","lon_c","lat_c"
5002019930,-78.3486464477772,44.7749788630229
5001980564,-78.3463048092443,44.7760694508745
5001960881,-78.3440329696577,44.7749922450627
5001921515,-78.3416912678389,44.776082758711
5001941199,-78.3417612192679,44.7739149906355
5001901832,-78.3394195302805,44.7750054620161
5001882150,-78.3371478819198,44.7739281167086
5001842783,-78.3348061296821,44.7750185138878
5001823101,-78.3325345833634,44.7739410777023
5001783734,-78.3301927678994,44.7750314006822
5001764052,-78.3279213236353,44.7739538736213
5001724685,-78.3255794449691,44.7750441224038
5001705003,-78.3233081027722,44.7739665044701
5001665636,-78.3209661609278,44.7750566790572
5001645954,-78.3186949208109,44.7739789702531
5001606587,-78.3163529158123,44.7750690706469
5001586905,-78.314081777788,44.7739912709749
5001547538,-78.3117397096592,44.7750812971774
5001527856,-78.3094686737403,44.77400340664
5001488489,-78.3071265425053,44.7750933586534
5001468807,-78.3048556087044,44.774015377253
5001429440,-78.3025134143872,44.7751052550792
5001409758,-78.300242582717,44.7740271828184
5001370391,-78.2979003253417,44.7751169864594
5001350709,-78.2956295958149,44.7740388233407
5001311342,-78.2932872754054,44.7751285527987
5001291660,-78.2910166480346,44.7740502988245
5001252293,-78.2886742646151,44.7751399541015
5001232611,-78.286403739413,44.7740616092744
5001193244,-78.2840612930074,44.7751511903724
5001173562,-78.2817908699866,44.7740727546949
5001134195,-78.279448360619,44.7751622616159
5001114513,-78.2771780397922,44.7740837350905
5001075146,-78.2748354674866,44.7751731678367
5001055464,-78.2725652488664,44.7740945504658
5001016097,-78.2702226136469,44.7751839090392
5000996415,-78.267952497246,44.7741052008254
5000957048,-78.2656097991365,44.7751944852281
5000937366,-78.2633397849676,44.7741156861739
5000897999,-78.2609970239922,44.7752048964079
5000878317,-78.2587271120678,44.7741260065158
5000838950,-78.2563842882506,44.7752151425832
5000819268,-78.2541144785834,44.7741361618557
5000779901,-78.2517715919484,44.7752252237586
5000760219,-78.249501884551,44.7741461521982
5002039613,-78.3509183893793,44.7760559779491
5001862466,-78.3370777651997,44.7760959014633
5001803417,-78.3324643013634,44.7761088791358
5001744368,-78.3278508763668,44.7761216917331
5001685319,-78.3232374902466,44.7761343392597
5001626270,-78.3186241430394,44.7761468217201
5001567221,-78.314010834782,44.7761591391188
5001508172,-78.3093975655111,44.7761712914604
5001449123,-78.3047843352634,44.7761832787494
5001390074,-78.3001711440755,44.7761951009903
5001331025,-78.2955579919842,44.7762067581878
5001271976,-78.2909448790262,44.7762182503463
5001212927,-78.2863318052382,44.7762295774704
5001153878,-78.2817187706568,44.7762407395646
5001094829,-78.2771057753187,44.7762517366336
5001035780,-78.2724928192607,44.7762625686818
5000976731,-78.2678799025194,44.7762732357139
5000917682,-78.2632670251315,44.7762837377344
5000858633,-78.2586541871337,44.7762940747479
5000799584,-78.2540413885626,44.7763042467589
